100,0.0015094008,0.26687822,0.99965453,0.966,6.982072926910581e-07
600,0.011128378,0.16121526,0.99823636,0.9644,2.2421749259401264e-06
1100,0.031343833,0.14445633,0.99203634,0.9652,8.56678138302604e-06
1600,0.047868732,0.12677169,0.9869818,0.9659,7.4564434059777955e-06
2100,0.018158143,0.16362898,0.9965091,0.9627,5.554574119913857e-06
2600,0.021763053,0.15470202,0.99576366,0.9664,7.152332427034408e-06
3100,0.03163016,0.14002778,0.9919818,0.9647,8.961718255707748e-06
3600,0.040407564,0.13410395,0.9898546,0.9654,7.580608823123077e-06
4100,0.0444685,0.1319444,0.98816365,0.9632,7.478141497319531e-06
4600,0.06110554,0.12971222,0.9832,0.9628,1.1571201541836012e-05
5100,0.04461143,0.13940048,0.9879818,0.9628,5.108055612580994e-06
5600,0.04918662,0.13850063,0.9866545,0.965,6.646913304146423e-06
6100,0.04478693,0.1303819,0.98809093,0.964,8.541552556898837e-06
6600,0.05401637,0.13538358,0.98456365,0.9614,1.1895852654023057e-05
7100,0.059998304,0.12646174,0.9830727,0.9651,7.245203896743437e-06
7600,0.06303941,0.13525376,0.9825091,0.9607,9.811476896289043e-06
8100,0.066212334,0.12934756,0.98129094,0.964,1.4115616903536184e-05
8600,0.0703517,0.124522045,0.9806,0.9658,1.0436904754612992e-05
9100,0.072198294,0.12888479,0.97867274,0.9618,7.4952087064323534e-06
9600,0.08139062,0.13257855,0.9770182,0.9617,9.265053390214836e-06
